transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,supplier_clean,category_clean,quantity_clean,sale_date_clean,unit_cost_clean,unit_price_clean,labour_cost_clean,inventory_level_clean,labour_hours_clean,store_id_clean,region_clean,manager,store_size,store_type,opening_year,revenue,gross_profit,stockout,sale_month
T002391,S22,2025-05-11 00:00:00,Home,3,BudgetSource,South,48.11,87.49,20,4.48,106.24,BudgetSource,Home,3.0,2025-05-11,48.11,87.49,106.24,20.0,4.48,S22,South,Manager_V,Large,Mall,2014,262.46999999999997,118.13999999999999,0,2025-05
T002716,S10,2025-03-22 00:00:00,Apparel,3,StyleHub,South,25.13,58.29,40,4.08,106.33,StyleHub,Apparel,3.0,2025-03-22,25.13,58.29,106.33,40.0,4.08,S10,South,Manager_J,Medium,Street,2023,174.87,99.47999999999999,0,2025-03
T000433,S23,2025-03-08 00:00:00,Electronics,3,North Star,South,261.58,358.64,120,4.24,120.88,NorthStar,Electronics,3.0,2025-03-08,261.58,358.64,120.88,120.0,4.24,S23,South,Manager_W,Small,Outlet,2022,1075.92,291.18,0,2025-03
T002422,S23,2025-04-26 00:00:00,electronics,7,NorthStar,South,227.77,$292.40,-13,4.18,97.25,NorthStar,Electronics,7.0,2025-04-26,227.77,292.4,97.25,-13.0,4.18,S23,South,Manager_W,Small,Outlet,2022,2046.7999999999997,452.40999999999974,1,2025-04
T002283,S12,2025-05-05 00:00:00,Home,2,BUDGETSOURCE,South,39.15,74.58,35,4.4,107.59,BudgetSource,Home,2.0,2025-05-05,39.15,74.58,107.59,35.0,4.4,S12,South,Manager_L,Large,Street,2012,149.16,70.86,0,2025-05
T000637,S16,2025-01-26 00:00:00,Sporting Goods,3,ActivePro,South,64.62, 112.33 ,139,4.74,105.82,ActivePro,Sports,3.0,2025-01-26,64.62,112.33,105.82,139.0,4.74,S16,South,Manager_P,Large,Mall,2008,336.99,143.13,0,2025-01
T000861,S07,2025-05-13 00:00:00,Grocery,1,FreshFarm,North,7.19,10.82,89,4.34,$123.55,FreshFarm,Grocery,1.0,2025-05-13,7.19,10.82,123.55,89.0,4.34,S07,North,Manager_G,Large,Street,2014,10.82,3.63,0,2025-05
T000046,S13,2025-01-29 00:00:00,Grocery,3,FreshFarm,East,8.95,12.99,68,4.06,114.17,FreshFarm,Grocery,3.0,2025-01-29,8.95,12.99,114.17,68.0,4.06,S13,East,Manager_M,Medium,Street,2011,38.97,12.120000000000003,0,2025-01
T002077,S27,2025-02-18 00:00:00,Sports,2,ActivePro,West,53.37,97.17,0,6.96,156.29,ActivePro,Sports,2.0,2025-02-18,53.37,97.17,156.29,0.0,6.96,S27,West,Manager_[,Large,Outlet,2014,194.34,87.60000000000001,1,2025-02
T001249,S18,2025-02-21 00:00:00,APPAREL,1,StyleHub,West,23.4,$44.46,3,4.56,121.99,StyleHub,Apparel,1.0,2025-02-21,23.4,44.46,121.99,3.0,4.56,S18,West,Manager_R,Medium,Outlet,2023,44.46,21.060000000000002,0,2025-02
T000118,S12,2025-01-21 00:00:00,Sports,3,ActivePro,South,51.85,97.71,70,4.82,104.85,ActivePro,Sports,3.0,2025-01-21,51.85,97.71,104.85,70.0,4.82,S12,South,Manager_L,Large,Street,2012,293.13,137.57999999999998,0,2025-01
T002434,Store-26,2025-01-10 00:00:00,Home,1,BudgetSource,West,41.19,84.52,1,5.49,144.36,BudgetSource,Home,1.0,2025-01-10,41.19,84.52,144.36,1.0,5.49,S26,West,Manager_Z,Medium,Outlet,2010,84.52,43.33,0,2025-01
T001303,S19,2025-01-06 00:00:00,Apparel,2,STYLEHUB,South,27.26,55.32,87,3.29,89.68,StyleHub,Apparel,2.0,2025-01-06,27.26,55.32,89.68,87.0,3.29,S19,South,Manager_S,Large,Mall,2017,110.64,56.12,0,2025-01
T000828,S28,2025-01-14 00:00:00,Beauty,1,GlowWorks,West,15.93,37.4,25,4.08,116.66,GlowWorks,Beauty,1.0,2025-01-14,15.93,37.4,116.66,25.0,4.08,S28,West,Manager_\,Small,Outlet,2012,37.4,21.47,0,2025-01
T002146,S06,2025-01-06 00:00:00,Home,2,BudgetSource,East,47.46,83.14,144,4.28,89.09,BudgetSource,Home,2.0,2025-01-06,47.46,83.14,89.09,144.0,4.28,S06,East,Manager_F,Medium,Mall,2020,166.28,71.36,0,2025-01
T001548,S04,2025-06-01 00:00:00,Sports,3,ActivePro,East,51.45 CAD,$91.78,88,3.52,84.3,ActivePro,Sports,3.0,2025-06-01,51.45,91.78,84.3,88.0,3.52,S04,East,Manager_D,Large,Street,2009,275.34000000000003,120.99,0,2025-06
T002304,S01,2025-06-13 00:00:00,Beauty,2,GlowWorks,East,19.59,43.74,85,5.2,108.74,GlowWorks,Beauty,2.0,2025-06-13,19.59,43.74,108.74,85.0,5.2,S01,East,Manager_A,Medium,Street,2020,87.48,48.300000000000004,0,2025-06
T001792,Store-23,2025-01-10 00:00:00,Sports,3,ActivePro,South,55.19,96.37,21,5.18,97.07,ActivePro,Sports,3.0,2025-01-10,55.19,96.37,97.07,21.0,5.18,S23,South,Manager_W,Small,Outlet,2022,289.11,123.54000000000002,0,2025-01
T001803,S08,2025-06-03 00:00:00,Electronics,3,NorthStar,South,219.75,307.87,156,5.24,132.75,NorthStar,Electronics,3.0,2025-06-03,219.75,307.87,132.75,156.0,5.24,S08,South,Manager_H,Medium,Outlet,2021,923.61,264.36,0,2025-06
T000518,S15,2025-02-14 00:00:00,Beauty,1,GlowWorks,East,18.45,41.3,21,4.74,108.7,GlowWorks,Beauty,1.0,2025-02-14,18.45,41.3,108.7,21.0,4.74,S15,East,Manager_O,Large,Outlet,2010,41.3,22.849999999999998,0,2025-02
T000273,S12,22-May-2025,Home,1,BudgetSource,South,$45.48,88.67 CAD,15,6.66,195.42,BudgetSource,Home,1.0,2025-05-22,45.48,88.67,195.42,15.0,6.66,S12,South,Manager_L,Large,Street,2012,88.67,43.190000000000005,0,2025-05
T001719,S09,2025-01-11 00:00:00,GROCERIES,4,FreshFarm,East,7.05,11.23,64,4.59,102.15,FreshFarm,Grocery,4.0,2025-01-11,7.05,11.23,102.15,64.0,4.59,S09,East,Manager_I,Medium,Mall,2018,44.92,16.720000000000002,0,2025-01
T000683,S14,2025-02-14 00:00:00,Beauty,3,GlowWorks,West,15.77,37.28,54,2.17,56.15,GlowWorks,Beauty,3.0,2025-02-14,15.77,37.28,56.15,54.0,2.17,S14,West,Manager_N,Large,Street,2017,111.84,64.53,0,2025-02
T001915,S27,2025-03-25 00:00:00,Sports,4,ActivePro,West,51.91,92.08,20,5.38,159.75,ActivePro,Sports,4.0,2025-03-25,51.91,92.08,159.75,20.0,5.38,S27,West,Manager_[,Large,Outlet,2014,368.32,160.68,0,2025-03
T002640,S21,2025-06-01 00:00:00,Sports,3,ActivePro,North,57.29,117.06,56,5.29,136.15,ActivePro,Sports,3.0,2025-06-01,57.29,117.06,136.15,56.0,5.29,S21,North,Manager_U,Medium,Mall,2014,351.18,179.31,0,2025-06
T001873,S14,25-Jan-2025,Apparel,4,StyleHub,West,27.03,$50.95,40,5.47,160.08,StyleHub,Apparel,4.0,2025-01-25,27.03,50.95,160.08,40.0,5.47,S14,West,Manager_N,Large,Street,2017,203.8,95.68,0,2025-01
T001685,S05,02/26/2025,Apparel,1,StyleHub,East,24.95,52.55,44,3.1,69.58,StyleHub,Apparel,1.0,2025-02-26,24.95,52.55,69.58,44.0,3.1,S05,East,Manager_E,Small,Mall,2022,52.55,27.599999999999998,0,2025-02
T002755,S28,2025-04-05 00:00:00,Apparel,2,StyleHub,West,29.92,$57.10,16,3.94,106.67,StyleHub,Apparel,2.0,2025-04-05,29.92,57.1,106.67,16.0,3.94,S28,West,Manager_\,Small,Outlet,2012,114.2,54.36,0,2025-04
T001286,Store-29,2025-01-22 00:00:00,beauty,2,GlowWorks,West,17.65,38.88,11,4.25,131.26,GlowWorks,Beauty,2.0,2025-01-22,17.65,38.88,131.26,11.0,4.25,S29,West,Manager_],Large,Outlet,2018,77.76,42.46000000000001,0,2025-01
T001989,S16,2025-01-09 00:00:00,Electronics,3,NorthStar,South,225.05,$324.63,47,5.22,162.34,NorthStar,Electronics,3.0,2025-01-09,225.05,324.63,162.34,47.0,5.22,S16,South,Manager_P,Large,Mall,2008,973.89,298.73999999999995,0,2025-01
T000107,S25,2025-06-23 00:00:00,Beauty,3,GlowWorks,West,16.83,37.59,34,3.09,84.71,GlowWorks,Beauty,3.0,2025-06-23,16.83,37.59,84.71,34.0,3.09,S25,West,Manager_Y,Large,Outlet,2010,112.77000000000001,62.280000000000015,0,2025-06
T000740,S16,2025-06-27 00:00:00,Grocery,3,FreshFarm,South,8.22,12.2,154,5.24,138.02,FreshFarm,Grocery,3.0,2025-06-27,8.22,12.2,138.02,154.0,5.24,S16,South,Manager_P,Large,Mall,2008,36.599999999999994,11.939999999999996,0,2025-06
T000288,04,2025-06-23 00:00:00,Home,3,BudgetSource,East,43.3,87.18,134,5.64,133.82,BudgetSource,Home,3.0,2025-06-23,43.3,87.18,133.82,134.0,5.64,S04,East,Manager_D,Large,Street,2009,261.54,131.64000000000004,0,2025-06
T002361,S26,2025-05-01 00:00:00,APPAREL,2,StyleHub,West,27.23,57.06,16,3.94,139.14,StyleHub,Apparel,2.0,2025-05-01,27.23,57.06,139.14,16.0,3.94,S26,West,Manager_Z,Medium,Outlet,2010,114.12,59.660000000000004,0,2025-05
T001317,S05,2025-06-29 00:00:00,Grocery,2,FreshFarm,East,8.13 CAD,13.36,106,5.43, 125.27 ,FreshFarm,Grocery,2.0,2025-06-29,8.13,13.36,125.27,106.0,5.43,S05,East,Manager_E,Small,Mall,2022,26.72,10.459999999999997,0,2025-06
T001020,S05,2025-02-23 00:00:00,Electronics,3,NorthStar,East,209.89,268.79,37,4.38,120.75,NorthStar,Electronics,3.0,2025-02-23,209.89,268.79,120.75,37.0,4.38,S05,East,Manager_E,Small,Mall,2022,806.3700000000001,176.7000000000001,0,2025-02
T000933,15,03-May-2025,Apparel,6,StyleHub,East,27.53,$60.89,153,2.79,76.3,StyleHub,Apparel,6.0,2025-05-03,27.53,60.89,76.3,153.0,2.79,S15,East,Manager_O,Large,Outlet,2010,365.34000000000003,200.16,0,2025-05
T000548,S12,2025-01-04 00:00:00,Electronics,3,NorthStar,South,177.04,239.73,107,4.23,104.29,NorthStar,Electronics,3.0,2025-01-04,177.04,239.73,104.29,107.0,4.23,S12,South,Manager_L,Large,Street,2012,719.1899999999999,188.07,0,2025-01
T000308,S22,2025-05-28 00:00:00,Grocery,4,FreshFarm,South,8.27,12.63,151,3.99,117.99,FreshFarm,Grocery,4.0,2025-05-28,8.27,12.63,117.99,151.0,3.99,S22,South,Manager_V,Large,Mall,2014,50.52,17.440000000000005,0,2025-05
T000521,S14,2025-04-20 00:00:00,Grocery,2,FreshFarm,West,7.89,11.74,39,5.42,183.35,FreshFarm,Grocery,2.0,2025-04-20,7.89,11.74,183.35,39.0,5.42,S14,West,Manager_N,Large,Street,2017,23.48,7.700000000000001,0,2025-04
T002038,S11,2025-06-20 00:00:00,Electronics,4,NorthStar,South,$245.84,328.02,108,4.52,119.04,NorthStar,Electronics,4.0,2025-06-20,245.84,328.02,119.04,108.0,4.52,S11,South,Manager_K,Medium,Outlet,2019,1312.08,328.7199999999999,0,2025-06
T002339,S30,2025-01-04 00:00:00,Grocery,7,FreshFarm,West,9.39,14.09,32,3.05,81.67,FreshFarm,Grocery,7.0,2025-01-04,9.39,14.09,81.67,32.0,3.05,S30,West,Manager_^,Medium,Outlet,2019,98.63,32.89999999999999,0,2025-01
T000602,S16,2025-03-21 00:00:00,Electronics,6,NorthStar,South,221.06,278.97,95,4.05,112.61,NorthStar,Electronics,6.0,2025-03-21,221.06,278.97,112.61,95.0,4.05,S16,South,Manager_P,Large,Mall,2008,1673.8200000000002,347.46000000000015,0,2025-03
T001955,S27,2025-01-19 00:00:00,Beauty,1,GlowWorks,West,18.88,42.46,,5.52,163.15,GlowWorks,Beauty,1.0,2025-01-19,18.88,42.46,163.15,,5.52,S27,West,Manager_[,Large,Outlet,2014,42.46,23.580000000000002,0,2025-01
T002440,S26,2025-01-19 00:00:00,Apparel,2,StyleHub,West,30.89,$58.15,49,6.16,146.58,StyleHub,Apparel,2.0,2025-01-19,30.89,58.15,146.58,49.0,6.16,S26,West,Manager_Z,Medium,Outlet,2010,116.3,54.519999999999996,0,2025-01
T001032,S02,2025-06-23 00:00:00,Apparel,5,StyleHub,South,29.73,62.59,145,4.3,98.61,StyleHub,Apparel,5.0,2025-06-23,29.73,62.59,98.61,145.0,4.3,S02,South,Manager_B,Medium,Street,2017,312.95000000000005,164.3,0,2025-06
T000277,S06,27-Jan-2025,Beauty,1,GlowWorks,East,18.4,39.62,83,6.58,$172.70,GlowWorks,Beauty,1.0,2025-01-27,18.4,39.62,172.7,83.0,6.58,S06,East,Manager_F,Medium,Mall,2020,39.62,21.22,0,2025-01
T000435,S17,2025-03-06 00:00:00,Grocery,1,FRESHFARM,North,7.36,10.6,33,4.22,112.53,FreshFarm,Grocery,1.0,2025-03-06,7.36,10.6,112.53,33.0,4.22,S17,North,Manager_Q,Small,Mall,2023,10.6,3.2399999999999993,0,2025-03
T002394,S30,2025-01-19 00:00:00,Grocery,2,FreshFarm,West,8.28,11.58,47,5.71,$155.39,FreshFarm,Grocery,2.0,2025-01-19,8.28,11.58,155.39,47.0,5.71,S30,West,Manager_^,Medium,Outlet,2019,23.16,6.600000000000001,0,2025-01
T002656,S11,2025-04-22 00:00:00,apparel,5,STYLEHUB,South,25.84,53.42,33,5.05,143.07 CAD,StyleHub,Apparel,5.0,2025-04-22,25.84,53.42,143.07,33.0,5.05,S11,South,Manager_K,Medium,Outlet,2019,267.1,137.9,0,2025-04
T002838,S02,2025-03-05 00:00:00,Grocery,5,FreshFarm,South,8.25,13.58,87,5.1,129.37,FreshFarm,Grocery,5.0,2025-03-05,8.25,13.58,129.37,87.0,5.1,S02,South,Manager_B,Medium,Street,2017,67.9,26.65,0,2025-03
T000224,S01,22-Mar-2025,Beauty,8,GlowWorks,East,17.24,37.82,78,4.18,103.81,GlowWorks,Beauty,8.0,2025-03-22,17.24,37.82,103.81,78.0,4.18,S01,East,Manager_A,Medium,Street,2020,302.56,164.64000000000001,0,2025-03
T002585,S19,14-Apr-2025,Sports,6,ActivePro,South,53.28,103.18,49,5.15,116.63,ActivePro,Sports,6.0,2025-04-14,53.28,103.18,116.63,49.0,5.15,S19,South,Manager_S,Large,Mall,2017,619.08,299.40000000000003,0,2025-04
T001539,S22,2025-04-02 00:00:00,Home,1,BudgetSource,South,47.42,95.75,38,5.5,133.5,BudgetSource,Home,1.0,2025-04-02,47.42,95.75,133.5,38.0,5.5,S22,South,Manager_V,Large,Mall,2014,95.75,48.33,0,2025-04
T002230, store_13 ,2025-06-07 00:00:00,SPORTS,3,ActivePro,East,53.45,100.78 CAD,21,3.92,$114.26,ActivePro,Sports,3.0,2025-06-07,53.45,100.78,114.26,21.0,3.92,S13,East,Manager_M,Medium,Street,2011,302.34000000000003,141.99,0,2025-06
T002136,S26,06/29/2025,Apparel,1,StyleHub,West,30.79,61.27,26,2.93,84.86 CAD,StyleHub,Apparel,1.0,2025-06-29,30.79,61.27,84.86,26.0,2.93,S26,West,Manager_Z,Medium,Outlet,2010,61.27,30.480000000000004,0,2025-06
T001620,S17,2025-03-14 00:00:00,Beauty,2,GlowWorks,North,15.33,$32.92,133,5.74,122.18,GlowWorks,Beauty,2.0,2025-03-14,15.33,32.92,122.18,133.0,5.74,S17,North,Manager_Q,Small,Mall,2023,65.84,35.18000000000001,0,2025-03
T001631,S07,2025-05-31 00:00:00,Electronics,4,NorthStar,North,262.13,367.99,50,4.38,111.26,NorthStar,Electronics,4.0,2025-05-31,262.13,367.99,111.26,50.0,4.38,S07,North,Manager_G,Large,Street,2014,1471.96,423.44000000000005,0,2025-05
T000900,S06,2025-03-25 00:00:00,Beauty,6,GlowWorks,East,18.97,44.13,128,3.68,99.03,GlowWorks,Beauty,6.0,2025-03-25,18.97,44.13,99.03,128.0,3.68,S06,East,Manager_F,Medium,Mall,2020,264.78000000000003,150.96000000000004,0,2025-03
T002817,S29,25-Apr-2025,Beauty,6,GlowWorks,West,18.75,43.89,48,4.25,127.2,GlowWorks,Beauty,6.0,2025-04-25,18.75,43.89,127.2,48.0,4.25,S29,West,Manager_],Large,Outlet,2018,263.34000000000003,150.84,0,2025-04
T002882,S19,2025-02-08 00:00:00,Food,3,FreshFarm,South,7.04,10.79,95,6.71,154.98,FreshFarm,Grocery,3.0,2025-02-08,7.04,10.79,154.98,95.0,6.71,S19,South,Manager_S,Large,Mall,2017,32.37,11.249999999999996,0,2025-02
T002359,S17,2025-06-22 00:00:00,Grocery,6,FreshFarm,North,$8.99,14.32,97,5.52,126.16,FreshFarm,Grocery,6.0,2025-06-22,8.99,14.32,126.16,97.0,5.52,S17,North,Manager_Q,Small,Mall,2023,85.92,31.98,0,2025-06
T000502,Store-08,04-May-2025,Electronics,3,NorthStar,South,240.48,306.7,153,4.73,118.83,NorthStar,Electronics,3.0,2025-05-04,240.48,306.7,118.83,153.0,4.73,S08,South,Manager_H,Medium,Outlet,2021,920.0999999999999,198.66,0,2025-05
T001647,S23,2025-02-06 00:00:00,BEAUTY,2,GlowWorks,South,20.41,47.16,116,3.57,103.46,GlowWorks,Beauty,2.0,2025-02-06,20.41,47.16,103.46,116.0,3.57,S23,South,Manager_W,Small,Outlet,2022,94.32,53.49999999999999,0,2025-02
T001443,S02,2025-02-05 00:00:00,Electronics,2,NorthStar,South,$231.42,312.01,103,5.84,155.43,NorthStar,Electronics,2.0,2025-02-05,231.42,312.01,155.43,103.0,5.84,S02,South,Manager_B,Medium,Street,2017,624.02,161.18,0,2025-02
T000089,29,01/19/2025,Electronics,1,NorthStar,West,235.43,312.45,32,4.54,143.44,NorthStar,Electronics,1.0,2025-01-19,235.43,312.45,143.44,32.0,4.54,S29,West,Manager_],Large,Outlet,2018,312.45,77.01999999999998,0,2025-01
T000893,S27,2025-05-22 00:00:00,Beauty,1,glowworks,West,18.75,41.65,42,4.98,137.68,GlowWorks,Beauty,1.0,2025-05-22,18.75,41.65,137.68,42.0,4.98,S27,West,Manager_[,Large,Outlet,2014,41.65,22.9,0,2025-05
T001315,S06,2025-04-11 00:00:00, Electronics ,3,NorthStar,East,235.94,312.92,83,4.8,101.63,NorthStar,Electronics,3.0,2025-04-11,235.94,312.92,101.63,83.0,4.8,S06,East,Manager_F,Medium,Mall,2020,938.76,230.94000000000005,0,2025-04
T001777,S06,2025-04-16 00:00:00,Beauty,1,GlowWorks,East,17.26,39.47,110,4.72,128.29,GlowWorks,Beauty,1.0,2025-04-16,17.26,39.47,128.29,110.0,4.72,S06,East,Manager_F,Medium,Mall,2020,39.47,22.209999999999997,0,2025-04
T001001,S09,2025-01-30 00:00:00,Grocery,9,FreshFarm,East,7.33,10.72,110,5.91,125.63,FreshFarm,Grocery,9.0,2025-01-30,7.33,10.72,125.63,110.0,5.91,S09,East,Manager_I,Medium,Mall,2018,96.48,30.510000000000005,0,2025-01
T000042,S12,2025-05-10 00:00:00,Grocery,4,FreshFarm,South,9.27,13.51,154,4.22,90.92,FreshFarm,Grocery,4.0,2025-05-10,9.27,13.51,90.92,154.0,4.22,S12,South,Manager_L,Large,Street,2012,54.04,16.96,0,2025-05
T000076,S20,2025-02-24 00:00:00,Electronics,4,NorthStar,South,240.26,297.57,35,4.9,95.93,NorthStar,Electronics,4.0,2025-02-24,240.26,297.57,95.93,35.0,4.9,S20,South,Manager_T,Large,Mall,2010,1190.28,229.24,0,2025-02
T001384,S18,2025-02-09 00:00:00,Sports,3,ActivePro,West,51.92,117.18,59,7.53,185.88,ActivePro,Sports,3.0,2025-02-09,51.92,117.18,185.88,59.0,7.53,S18,West,Manager_R,Medium,Outlet,2023,351.54,195.78000000000003,0,2025-02
T001008,S15,2025-05-04 00:00:00,Grocery,5,FreshFarm,East,7.28,10.42,131,4.78,134.24,FreshFarm,Grocery,5.0,2025-05-04,7.28,10.42,134.24,131.0,4.78,S15,East,Manager_O,Large,Outlet,2010,52.1,15.7,0,2025-05
T002917,S05,2025-06-22 00:00:00,Home,2,BudgetSource,East,42.45,$75.79,52,5.66,142.08,BudgetSource,Home,2.0,2025-06-22,42.45,75.79,142.08,52.0,5.66,S05,East,Manager_E,Small,Mall,2022,151.58,66.68,0,2025-06
T000317,S21,06/03/2025,Electronics,3,NorthStar,North,276.17,363.18,82,3.67,90.0,NorthStar,Electronics,3.0,2025-06-03,276.17,363.18,90.0,82.0,3.67,S21,North,Manager_U,Medium,Mall,2014,1089.54,261.03,0,2025-06
T000231,S09,02/25/2025,Electronics,3,NorthStar,East,258.35,368.22,47,2.58,61.09,NorthStar,Electronics,3.0,2025-02-25,258.35,368.22,61.09,47.0,2.58,S09,East,Manager_I,Medium,Mall,2018,1104.66,329.61,0,2025-02
T000659,S25,2025-02-10 00:00:00,Food,2,FreshFarm,West,8.9,15.72,34,4.89,140.31,FreshFarm,Grocery,2.0,2025-02-10,8.9,15.72,140.31,34.0,4.89,S25,West,Manager_Y,Large,Outlet,2010,31.44,13.64,0,2025-02
T002070,S17,2025-06-09 00:00:00,Apparel,2,StyleHub,North,27.74,59.5,148,2.26,47.36,StyleHub,Apparel,2.0,2025-06-09,27.74,59.5,47.36,148.0,2.26,S17,North,Manager_Q,Small,Mall,2023,119.0,63.52,0,2025-06
T000512,S14,2025-04-19 00:00:00,Electronics,7,NorthStar,West,245.84,310.28,29,5.41,156.85,NorthStar,Electronics,7.0,2025-04-19,245.84,310.28,156.85,29.0,5.41,S14,West,Manager_N,Large,Street,2017,2171.96,451.0799999999998,0,2025-04
T002615,S22,2025-06-21 00:00:00,Electronics,1,NorthStar,South,295.93,429.44,68,5.14,$157.18,NorthStar,Electronics,1.0,2025-06-21,295.93,429.44,157.18,68.0,5.14,S22,South,Manager_V,Large,Mall,2014,429.44,133.51,0,2025-06
T002171,S08,2025-05-20 00:00:00,ELECTRONIC,4,NorthStar,South,213.0,298.74,149,5.32,142.04,NorthStar,Electronics,4.0,2025-05-20,213.0,298.74,142.04,149.0,5.32,S08,South,Manager_H,Medium,Outlet,2021,1194.96,342.96000000000004,0,2025-05
T001037,S02,2025-03-06 00:00:00,Grocery,3,FreshFarm,South,8.73,12.74 CAD,38,5.78,140.78,FreshFarm,Grocery,3.0,2025-03-06,8.73,12.74,140.78,38.0,5.78,S02,South,Manager_B,Medium,Street,2017,38.22,12.03,0,2025-03
